Player Name,Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money,No Seasons,cluster
Martin Laird,694.0,60.1888888888889,298.0444444444445,66.12777777777778,29.283333333333335,57.87111111111111,70.87566666666666,6273,2.0,28.0,0.05188888888888889,0.38522222222222224,0.1947777777777778,0.10155555555555555,0.03900000000000001,14453330,9,5
Martin Piller,201.0,57.16,290.3333333333333,61.913333333333334,28.883333333333336,56.29,72.09466666666667,769,0.0,4.0,0.29633333333333334,-0.9593333333333334,-0.27566666666666667,-0.633,-0.3466666666666667,1559002,3,1
Mathew Goggin,150.0,61.55,290.05,68.52,30.06,55.515,71.56049999999999,370,0.0,1.0,-0.3095,-0.41400000000000003,0.186,-0.2345,-0.05499999999999999,743141,2,3
Mathias Grönberg,61.0,64.28,293.7,66.77,29.87,58.36,71.61399999999999,198,0.0,1.0,-0.184,-0.286,0.222,-0.236,-0.085,322130,1,3
Matt Atkins,56.0,57.5,301.4,63.46,29.12,57.6,72.251,44,0.0,0.0,-0.198,-1.129,0.134,-1.039,-0.027,89104,1,1
Matt Bettencourt,255.0,55.31999999999999,290.1666666666667,60.406666666666666,28.763333333333335,54.879999999999995,71.81533333333333,1110,1.0,4.0,0.082,-0.8383333333333333,-0.24533333333333332,-0.5216666666666666,-0.1523333333333333,1883522,3,1
Matt Every,542.0,56.291428571428575,289.9,63.24285714285714,28.93285714285714,55.39714285714285,71.522,3843,2.0,17.0,0.05942857142857142,-0.31871428571428567,-0.2702857142857143,0.024428571428571418,-0.13185714285714284,8330640,7,2
Matt Jones,685.0,58.337777777777774,296.3777777777778,64.36,28.83777777777778,59.650000000000006,70.95788888888889,4702,1.0,15.0,0.10433333333333333,0.13655555555555557,0.09455555555555556,-0.31722222222222224,0.2542222222222222,9528829,9,2
Matt Kuchar,841.0,64.61444444444444,286.15555555555557,66.91777777777777,28.678888888888892,63.40555555555555,69.74733333333333,13110,4.0,66.0,0.41455555555555557,1.2758888888888889,0.13677777777777778,0.41988888888888887,0.3134444444444444,35956219,9,5
Matt McQuillan,59.0,64.45,285.4,62.63,28.71,57.57,71.635,280,0.0,2.0,0.436,-0.084,-0.363,-0.188,0.031,582933,1,2
Max Homa,78.0,56.45,294.2,62.99,28.85,59.23,71.763,278,0.0,1.0,-0.11,-0.7290000000000001,0.066,-0.467,-0.218,380339,1,2
Michael Bradley,270.0,56.185,285.5,66.9375,29.82,54.4975,71.69475,1007,1.0,1.0,-0.22974999999999998,-0.68775,-0.863,0.32874999999999993,0.07574999999999997,1567632,4,2
Michael Connell,165.0,64.595,280.4,65.38,29.165,59.97,71.113,547,0.0,1.0,0.12000000000000005,-0.14150000000000001,-0.3384999999999999,0.0615,0.014999999999999951,1155821,2,4
Michael Kim,268.0,57.74666666666667,287.93333333333334,63.09,28.679999999999996,58.70333333333334,71.19066666666667,1658,1.0,2.0,0.25499999999999995,-0.2816666666666666,-0.4736666666666666,-0.05333333333333332,-0.010333333333333333,3062479,3,2
Michael Letzig,84.0,63.47,289.7,67.92,29.42,56.08,70.95100000000001,415,0.0,1.0,-0.071,0.0289999999999999,0.115,-0.121,0.118,563729,1,3
Michael Putnam,260.0,59.089999999999996,293.0,67.18333333333334,29.623333333333335,57.98,71.01666666666667,1325,0.0,1.0,-0.17066666666666666,-0.069,0.035333333333333335,0.157,-0.09066666666666667,1775002,3,3
Michael Sim,64.0,63.35,283.3,65.34,28.75,61.58,70.896,573,0.0,3.0,0.518,0.235,-0.351,-0.237,0.306,1338926,1,4
Michael Thompson,575.0,61.04625,288.1125,65.18,29.16125,57.45375,71.089625,3666,1.0,10.0,0.303375,-0.087,-0.233,-0.1465,-0.011000000000000027,7238357,8,2
Miguel Angel Carballo,136.0,60.745000000000005,288.8,64.85,29.575000000000003,53.21,72.1405,294,0.0,0.0,-0.307,-1.264,0.0485,-0.8815,-0.124,456603,2,1
Mike Weir,188.0,53.88666666666666,271.8666666666666,57.41,28.209999999999997,59.25,71.66766666666666,908,0.0,2.0,0.17533333333333334,-0.5459999999999999,-1.3886666666666667,0.20099999999999998,0.4669999999999999,1608015,3,2
Morgan Hoffmann,415.0,56.965999999999994,295.03999999999996,63.072,28.648000000000003,58.612,70.9958,2508,0.0,7.0,0.24339999999999998,0.07440000000000002,0.023599999999999982,-0.3454,0.15259999999999999,5574623,5,2
Nate Lashley,51.0,60.58,293.9,68.2,29.32,60.59,70.999,168,0.0,0.0,0.0819999999999999,0.31,0.111,0.036,0.08,296650,1,5
Nate Smith,66.0,60.98,281.2,61.57,28.68,58.07,71.833,110,0.0,0.0,0.411,-0.883,-0.882,-0.547,0.136,154814,1,2
Nathan Green,240.0,59.803333333333335,282.76666666666665,64.14666666666666,29.01,59.57333333333333,71.23666666666666,868,0.0,2.0,0.2316666666666666,-0.2493333333333333,-0.4706666666666666,-0.123,0.11366666666666664,1314940,3,2
Nicholas Lindheim,135.0,58.315,290.3,66.855,29.25,55.275,71.77449999999999,365,0.0,1.0,0.34550000000000003,-0.8039999999999999,-0.4955,-0.473,-0.1815,768949,2,2
Nicholas Thompson,362.0,66.14,288.45,67.745,29.979999999999997,52.8025,71.447,1748,0.0,5.0,-0.57025,-0.46975,0.30625,0.154,-0.36,2886472,4,3
Nick O'Hern,167.0,67.505,272.6,64.98,29.28,58.855000000000004,71.1895,713,0.0,3.0,-0.22399999999999995,-0.013499999999999984,-0.4235,0.2335,0.4009999999999999,1429599,2,4
Nick Taylor,365.0,58.964999999999996,293.2,66.005,29.165,60.31,71.27074999999999,1942,1.0,8.0,-0.13625000000000004,-0.13225,0.0715,-0.024999999999999974,-0.042499999999999996,3855748,4,3
Nick Watney,696.0,59.88625,298.075,67.56,29.345,57.4125,70.518625,6587,2.0,26.0,0.027875000000000028,0.6325000000000001,0.287,0.460125,-0.14512499999999998,18223516,8,5
Nicolas Colsaerts,50.0,53.8,305.7,66.78,30.74,49.82,71.08800000000001,353,0.0,3.0,-0.579,-0.268,0.552,0.322,-0.563,720164,1,3
Ollie Schniederjans,183.0,52.055,301.04999999999995,64.4,28.795,57.8,70.6725,1455,0.0,8.0,0.153,0.31849999999999995,-0.1425,0.1995,0.109,3239279,2,5
Omar Uresti,74.0,76.08,272.0,68.22,29.78,61.44,71.579,192,0.0,1.0,-0.757,-0.512,-0.001,0.042,0.2019999999999999,283455,1,4
Oscar Fraustro,58.0,61.78,289.5,63.17,28.81,56.42,72.08,171,0.0,1.0,-0.283,-1.3159999999999998,0.259,-0.637,-0.655,262475,1,1
Padraig Harrington,350.0,56.718333333333334,291.4666666666667,62.175000000000004,28.796666666666667,59.04,70.78633333333333,2994,1.0,16.0,-0.08033333333333333,0.21400000000000005,-0.22899999999999998,0.1875,0.3363333333333333,6427589,6,2
Pat Perez,671.0,63.10625,289.075,66.6675,28.90625,59.7875,70.6565,6481,2.0,26.0,0.224625,0.44025000000000003,-0.026749999999999996,0.13275,0.10749999999999997,14509479,8,4
Patrick Cantlay,139.0,61.525,301.0,69.94999999999999,29.495,58.864999999999995,69.935,1966,1.0,8.0,-0.011499999999999996,1.1825,0.6225,0.488,0.08349999999999999,6013594,2,5
Patrick Reed,584.0,55.68166666666667,294.6666666666667,63.693333333333335,28.429999999999996,61.61333333333334,70.40433333333334,8347,5.0,30.0,0.3356666666666666,0.6963333333333334,0.08183333333333331,-0.02,0.313,23319114,6,5
Patrick Rodgers,262.0,57.26,303.43333333333334,66.90333333333334,29.566666666666666,56.34,70.99866666666667,1919,0.0,9.0,0.10066666666666668,-0.0576666666666667,0.09100000000000001,-0.287,0.038,3923698,3,3
Patrick Sheehan,58.0,60.11,279.3,62.93,29.27,55.62,71.95,108,0.0,0.0,-0.149,-1.261,-0.4679999999999999,-0.737,0.092,129590,1,1
Patton Kizzire,269.0,54.45333333333334,294.3333333333333,65.68,29.166666666666668,55.26333333333334,71.12,2665,2.0,12.0,0.129,-0.07633333333333332,-0.4603333333333333,0.347,-0.09200000000000001,6120170,3,2
Paul Casey,452.0,62.87166666666667,296.9166666666667,69.235,29.27,59.96,69.8245,6016,1.0,27.0,0.24783333333333332,1.2516666666666667,0.2625,0.7294999999999999,0.010666666666666666,19413778,6,5
Paul Goydos,159.0,69.78999999999999,274.20000000000005,65.21000000000001,29.259999999999998,55.405,71.627,1071,0.0,6.0,-0.393,-0.4625,-0.2665,0.348,-0.152,2506578,2,4
Paul Stankowski,140.0,62.214999999999996,287.1,68.03999999999999,29.155,57.45,70.7595,503,0.0,2.0,0.328,0.2705,-0.2565,0.18150000000000005,0.019499999999999948,956802,2,4
Peter Hanson,45.0,56.31,295.3,61.24,28.67,58.33,70.368,356,0.0,1.0,0.484,0.508,-0.306,0.192,0.138,610178,1,2
Peter Malnati,263.0,60.166666666666664,284.3,62.52,28.27,60.53,71.30866666666667,1004,1.0,3.0,0.5203333333333333,-0.19733333333333336,-0.39066666666666666,-0.4506666666666666,0.124,2077487,3,2
Peter Uihlein,83.0,52.93,302.2,67.88,29.41,57.87,70.578,593,0.0,4.0,0.021,0.268,0.132,-0.04,0.156,1797715,1,5
Phil Mickelson,703.0,54.91555555555556,295.85555555555555,64.82777777777778,28.477777777777778,60.86,70.03777777777778,12351,6.0,41.0,0.3104444444444444,1.0925555555555555,0.009777777777777795,0.5244444444444444,0.24833333333333332,32317468,9,5
